Artwork Title,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type,Image link
PreTonomy,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/4dbb2bbbc876ad2f0a3bf0a4e4f7553d.jpeg?w=1000
PreStrung,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/ca666ae66cb166c7afae7b85ab9aa78e.jpeg?w=1000
Beginnings,Edition,50,7/1/24,Manifold,,452b,https://opensea.io/assets/ethereum/0xd3846a7d6c4110ab6ae26939225ff11b9c42e0cb/10,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0xd3846a7d6c4110ab6ae26939225ff11b9c42e0cb/27ad8b6045b660d9cc7f60af7347b8/e127ad8b6045b660d9cc7f60af7347b8.gif?w=350
Ephemeral Embers,Edition,100,7/24/24,Iconic,,Rockwell,https://opensea.io/collection/ephemeralembers,,ERC-721,,,,,,,https://i2.seadn.io/ethereum/0x1804b6b764d1c7dce7dd16b4a00533044f890d87/d44f2df72af29e0d41338fbee3431469.webp?w=350
Climb,Unique,1,10/11/24,Christie's,,,https://opensea.io/item/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/10,,ERC-721,,,,,,,https://ecah7557gtvh4uqkzo5uip2gplmqhmc64chxy6k5w7lliyormrxa.arweave.net/IIB_97806n5SCsu7RD9GetkDsF7gj3x5XbfWtGHRZG4
Bloom,Edition,100,11/10/24,LG Lab Art,,LG x NFT Now,https://opensea.io/collection/bloombrinkman,,ERC-1155,,,Hosted by Platform,,,,https://i2.seadn.io/ethereum/0x4e5a0bdb6eda0bbd5a1e4f7263cb0648e4969186/23092b718b696b057e3d2fd760f131/e423092b718b696b057e3d2fd760f131.jpeg?w=350
Pepe Toilets NYC,Series,3,1/6/25,VVD/Pepe,"#10, #11, #12",,https://opensea.io/collection/pepe-toilets-nyc-1,,ERC-721,,,,,,,https://i2.seadn.io/ethereum/0x135d5b0ffe088f1cd795ca7b433a6d96abbde874/7c0354d3e59cc0e5f0b3e8567b319e/737c0354d3e59cc0e5f0b3e8567b319e.jpeg?w=1000
FL1CK3R,Series,30,1/16/25,Osura,,OCM,https://magiceden.us/ordinals/marketplace/fl1ck3r,,ORDINALS,,,,,ONCHAIN,ONCHAIN,https://img-cdn.magiceden.dev/da:t/rs:fit:400:0:0/plain/https%3A%2F%2Fbafybeieksl6ofojv3qjttujilbdge5ubbgprktqjf2isrkhzz7owlnpx44.ipfs.nftstorage.link%2FBrinkman_Ordinals_22.jpg
Barrel Of Monkeys,Edition,5,3/18/25,Apechain,,,https://opensea.io/collection/barrel-of-monkeys-by-bryan-brinkman,,ERC-721,,,,,,,https://i2.seadn.io/ape_chain/0xfde5148f41627710769b27ae2a9d56e1a1b87542/70f2a9bbdd5ec7afb691daa25568d7/c170f2a9bbdd5ec7afb691daa25568d7.jpeg?w=1000
Cadence,Unique,1,3/25/25,SuperRare,,Eddie Wharton,https://opensea.io/item/ethereum/0x8917811ac742ad95fc884d362babad2633bef811/1,,ERC-721,,,bafkreicqp2y5iws5adrqx2n5mkbexh35opxyvfjfe25hawg5zml3n2xili,bafkreifgi2uhugon5c6tit2io4tpf4idviynnc2zm5u5juwga6qhhx7hti,,,https://p199.p4.n0.cdn.zight.com/items/Wnu9rY2K/55608162-d389-4bb3-afd0-8293c0b2dba2.jpeg?source=viewer&v=942651257173995c02c1c18845524a5b
Cadence Mementos,Series,30,4/4/25,Transient Labs,,Eddie Wharton,https://opensea.io/collection/cadence-mementos,,ERC-721,,,,,,,https://i2.seadn.io/ethereum/0x179e2493657f05ec9a84d17a42aa72649cea2bd5/effee31b2430d4ddf6ded3c9aa9a4c/f2effee31b2430d4ddf6ded3c9aa9a4c.jpeg?w=1000
